method,seed,rollouts_per_target,median_E_ratio,p25_E_ratio,p75_E_ratio,frac_within_2pct
bf,5,11,1.1376515393336861,1.0696018282755202,1.257007901918179,0.035
bf,5,14,1.1261697620816529,1.064181463754048,1.2195343792934463,0.045
bf,5,17,1.1077508883598273,1.0556836707959232,1.2002912145496367,0.055
bf,5,20,1.1005037858136886,1.0535623619524321,1.1826143085031187,0.055
bf,5,25,1.0816330172399726,1.0461927445180916,1.156501786168532,0.095
bf,5,30,1.0705589406655103,1.0378123599931954,1.1346609099774905,0.125
bf,5,37,1.0624302669890255,1.0308179239938677,1.1201629082814673,0.155
bf,5,45,1.060355045919545,1.028834119217193,1.09919709830311,0.175
bf,5,55,1.0515480865536726,1.0260527864900792,1.0893609686283365,0.195
bf,5,68,1.041859444531008,1.0223976718694905,1.0746687953426757,0.225
bf,5,83,1.0377722847039357,1.018393196400865,1.068121008264911,0.26
bf,5,101,1.0348211215528873,1.017447381195891,1.0620813307426338,0.29
bf,5,123,1.0310404954823436,1.0134854201427816,1.055800258127971,0.345
bf,5,151,1.025989422417936,1.0109880156820459,1.046872183799276,0.4
bf,5,184,1.0243196283094411,1.0072903749867872,1.0406844553692616,0.43
bf,5,225,1.0225629327621029,1.0064601417172674,1.0379912724815874,0.465
bf,5,275,1.0175601844718116,1.004823785952781,1.0347140551954155,0.52
bf,5,336,1.015294412422402,1.0034225043831904,1.0305317778986522,0.565
bf,5,411,1.0126690630395567,1.0023858299896684,1.026246102875855,0.615
bf,5,502,1.008685245488635,1.0009683524795632,1.0246500673084575,0.68
bf,5,614,1.0061614518115491,1.0,1.0196493382629666,0.75
bf,5,750,1.0042641948191666,1.0,1.01401760639206,0.81
bf,5,917,1.0021762256580007,1.0,1.0098588366977803,0.85
bf,5,1121,1.0002018849574619,1.0,1.007452222948396,0.91
bf,5,1369,1.0,1.0,1.0045614708421309,0.94
bf,5,1674,1.0,1.0,1.0020974224150694,0.97
bf,5,2046,1.0,1.0,1.0,0.985
bf,5,2500,1.0,1.0,1.0,1.0
bf,6,1,2.0042977918113696,1.3899542334413566,3.0700549337199505,0.005
bf,6,2,1.5173186172578477,1.2583952320349325,2.3183682492309554,0.005
bf,6,3,1.3608921300512113,1.2084032276611039,1.8351376391401535,0.015
bf,6,4,1.2948109076360468,1.1562169685928203,1.5636445608993925,0.025
bf,6,5,1.2735744148205808,1.1461202570259947,1.5401539379144231,0.03
bf,6,6,1.2325828967708987,1.1268902280583488,1.440131962047241,0.03
bf,6,7,1.211714996059038,1.1164274951757827,1.3722987925353207,0.04
bf,6,9,1.182623731560685,1.1030380631865773,1.2969683359429838,0.04
bf,6,11,1.1445334133730687,1.0847901079252347,1.2523368980222016,0.05
bf,6,14,1.1298778496372637,1.0676130037259641,1.213959752636342,0.065
bf,6,17,1.1177710307739888,1.0604374416619722,1.1886364265550142,0.075
bf,6,20,1.1087262154519104,1.057170138453232,1.1842564121529326,0.095
bf,6,25,1.1018751217694605,1.0526060725820907,1.151260001399852,0.115
bf,6,30,1.0974176404708944,1.0494863899053903,1.144642053425783,0.13
bf,6,37,1.0765046897562627,1.038867847541017,1.1373879052885993,0.16
bf,6,45,1.063160567174792,1.0267820677948827,1.1246211327770914,0.205
bf,6,55,1.057646148264741,1.0207794231882654,1.1141017830597604,0.235
bf,6,68,1.0513556579735168,1.019778475400371,1.1008777868132475,0.25
bf,6,83,1.0424460379333909,1.016557147947394,1.0841446218832096,0.28
bf,6,101,1.0359361616385723,1.0130447988885338,1.0683712324106223,0.335
bf,6,123,1.0323214352049908,1.0127376666382402,1.057358328775547,0.35
bf,6,151,1.0271074976303707,1.0101294184267937,1.0556964526800778,0.405
bf,6,184,1.0241605612276394,1.0095312658065783,1.0478404777603585,0.44
bf,6,225,1.0214224257056044,1.007777303438623,1.0379085345045895,0.475
bf,6,275,1.017998688462248,1.0061411843283743,1.0350879997672422,0.515
bf,6,336,1.0150765133398965,1.0053414159558804,1.0307526858328986,0.575
bf,6,411,1.0129618245367848,1.0033640835029953,1.027205882407628,0.625
bf,6,502,1.009516290867197,1.0011515035132326,1.022253363325118,0.705
bf,6,614,1.00770685458839,1.0002432552334024,1.019759773377769,0.755
bf,6,750,1.0056138659766805,1.0,1.0146857442540478,0.81
bf,6,917,1.0024573225135065,1.0,1.012964785730998,0.84
bf,6,1121,1.0013059733470633,1.0,1.0095427564370276,0.875
bf,6,1369,1.0,1.0,1.0067827806171237,0.925
bf,6,1674,1.0,1.0,1.0014036941470772,0.96
bf,6,2046,1.0,1.0,1.0,0.995
bf,6,2500,1.0,1.0,1.0,1.0
bf,7,1,2.0447810399623103,1.4464024319552982,3.070575748616205,0.005
bf,7,2,1.4765888428977134,1.232843709105619,2.134845743594725,0.02
bf,7,3,1.3677121041278473,1.1956488651068828,1.7461795044883626,0.03
bf,7,4,1.303500462961544,1.1452414022647988,1.5889480393450464,0.035
bf,7,5,1.2700156055359626,1.1149768245166265,1.5247896470007454,0.04
bf,7,6,1.232032639046062,1.1145177928117498,1.4836491372683307,0.04
bf,7,7,1.2072984399875686,1.0985841110478216,1.3919174601127133,0.045
bf,7,9,1.1730267538168198,1.0883176707652846,1.322920505035295,0.05
bf,7,11,1.1407883786745536,1.0737537943633906,1.2541095937720812,0.065
bf,7,14,1.1270660871719413,1.0640342646137368,1.2164921593001858,0.08
bf,7,17,1.1079206213465196,1.0512650229416483,1.198115747791709,0.105
